notes,start,finish,Title,Share_Link,Description
,2020-Nov-09 10:00,2020-Nov-09 11:00,Learn@DLF Tutorials 1,https://2020clirevents.aviaryplatform.com/r/pc2t43jm2q,"Representatives from the IMLS-funded Collective Responsibility: National Forum on Labor Practices for Grant-Funded Digital Positions steering committee will introduce and demonstrate the use of three tools to promote labor equity. Attendees will learn more about equitable project design, grant application language, and talking about contingency at work.|Learn about appropriately using color in charts, some online tools for selecting and evaluating colorblind-safe color palettes, and four design principles for creating maximally accessible data visualizations for all readers (simplicity, context, legibility, and contrast).|While a custom-built digital collection, exhibition, or repository can be a huge undertaking, it doesn’t need to be! This session showcases Jekyll and Wax as helpful tools for building digital scholarship projects minimally. We’ll explain the philosophy behind these tools, explore an example repository, and direct you to additional resources.|Oral History as Data (OHD) is a static web tool that transforms interview transcript data into interactive websites. Users can publish, search, visualize, and share the text and audio/video from oral histories, qualitative interviews and similar outputs via the web in a few simple steps."
,2020-Nov-09 11:00,2020-Nov-09 13:00,Forum Opening Plenary,https://2020clirevents.aviaryplatform.com/r/5717m04b7q,
,2020-Nov-09 14:00,2020-Nov-09 14:45,Combo Session: Implementing responsible workflows and practices,https://2020clirevents.aviaryplatform.com/r/833mw28s69,"This presentation will focus on definitions and ethical applications for use/reuse of digital materials. The speakers will: provide finalized definitions for use/reuse; introduce the impact assessment matrix and ethical guidelines; and address the lack of common practices for what constitutes and how to assess reuse of digital materials.|UC Berkeley Library’s responsible access workflows and a corresponding community engagement policy support cultural heritage institutions seeking to digitize special collections by helping institutions navigate complex areas of law and policy. They also address social justice, adopting an ethics of care approach that balances potential value and harm.|We discuss how we've trained and supported dozens of library workers researching copyright information on thousands of 20th century serials held by Penn, and publishing it as linked open data via Wikidata. We show how the data benefits digitization projects and researchers, and how more can get involved."
,2020-Nov-09 14:00,2020-Nov-09 14:45,HBCULA Partner Combo Session: New Approaches to Developing Digital Archives,https://2020clirevents.aviaryplatform.com/r/x639z91295,"In February of 2020, Fisk University was awarded a Project Planning Grant by the Andrew W. Mellon Foundation. The grant focuses on organizing and curating material from the university’s Julius Rosenwald Collections.|During this presentation, Ms. Bowers,Mrs. Rounds and Ms. Clark from Allen University will provide information on discovery (how Mrs. Broughton founded the Archives and the Naming Ceremony) the digital collection process with Content DM and creating Meta Data,,incorporating Past Perfect Software, and best practices to be implemented.|The John Hay Library recently wrote a collection development policy that articulates a transformative vision for our collections and lays the groundwork for a new digital strategy. Through this presentation, we reflect on what it has meant to engage in transformative collection praxis during this particular historical moment."
,2020-Nov-09 15:00,2020-Nov-09 15:45,Panel: Metadata Works From Home: How Student Workers Continued to Work While Increasing Collection Accessibility,https://2020clirevents.aviaryplatform.com/r/jw86h4d75s,"Faced with campus closures, a University of Houston Libraries team developed plans to engage student employees in creating closed captions for hundreds of archival videos on the Libraries’ Audio/Video Repository. Panelists will describe the project and address unique challenges related to transcribing archival content, including dated and offensive content."
,2020-Nov-09 15:00,2020-Nov-09 15:45,Panel: Recording Restorative Justice and Accountability: The Burnham-Nobles Digital Archive,https://2020clirevents.aviaryplatform.com/r/j678s4k816,"This panel will discuss the Burnham-Nobles Digital Archive, which represents the Civil Rights and Restorative Justice Project at Northeastern University School of Law. Highlights include the collaborative efforts of project stakeholders to honor victims of racially motivated violence and the archival value of social justice informed collection arrangement and description."
,2020-Nov-09 16:00,2020-Nov-09 16:45,Combo Session: Creating accessible and inclusive content,https://2020clirevents.aviaryplatform.com/r/ht2g737p1n,"Recent lawsuits against Hunters Point Library in New York for violation of Americans with Disabilities Act (ADA) evidence that accessibility is not optional, but rather mandatory for professional at all levels. This presentation builds on different fields to present approaches to address accessibility for practitioners in digital library, archives, and museums.|Digital libraries are expected to follow accessibility guidelines to ensure people with disabilities can use them. Our presentation addresses the fourth requirement of the internationally adopted Web Content Accessibility Guidelines, which requires web content to work with people’s assistive technologies. This requirement is often neglected, perhaps because of its complexity.|As video content increases in importance online and in digital collections, it is vital that this content be accessible. While captions are the best known accessibility feature for videos, audio description and transcripts are important to include all users. This presentation will introduce these features and workflows for their creation."
,2020-Nov-09 16:00,2020-Nov-09 16:45,Panel: Creating a Virtual Community for Virtual Reality: Challenges and Solutions for Program Building During a Pandemic,https://2020clirevents.aviaryplatform.com/r/7h1dj58w6s,"As the hub for immersive technologies at the University of Rochester, Studio X's anticipated Fall 2020 opening has been delayed due to COVID-19. This panel will share insights and strategies for re-envisioning a physical space-based community as a virtual one in the midst of the pandemic."
,2020-Nov-09 17:00,2020-Nov-09 17:45,Panel: Linked While Apart: Overcoming Division with Linked Data,https://2020clirevents.aviaryplatform.com/r/8c9r20s86z,"University of South Florida Libraries will present a panel discussion on how linked data technology can promote important digital cultural heritage collections. Topics of discussion will include the benefits of linked open data and how linked open data provides better access, discoverability, and interoperability of the collections."
,2020-Nov-09 17:00,2020-Nov-09 17:45,Panel: Where It’s At: Using GIS Tools for Engagement and Outreach at an HBCU Library,https://2020clirevents.aviaryplatform.com/r/qr4nk36s1x,"GIS represents an innovative step forward for academic libraries. This panel will examine the use of GIS in a variety of ways: library instruction, disaster preparedness, and archives. As context and interactivity become more necessary, it’s important to consider and use tools outside the scope of a traditional academic library."
,2020-Nov-09 18:00,2020-Nov-09 19:00,DLF Craft Cocktail / Mocktail,https://forum2020.diglib.org/2020-dlf-cocktail-mocktail/,Baltimore-based bartender Ashley Mac has created a DLF signature cocktail and mocktail that you can enjoy from the comfort of your own home with a few inexpensive ingredients. Recipe now available. Demo video coming soon.
,2020-Nov-09 18:00,2020-Nov-09 19:00,Lightning Talks,https://2020clirevents.aviaryplatform.com/r/0z70v89v85,"This presentation discusses the Penn and Slavery Project, an augmented reality tour and a research website, in the context of political and technological realities at the University of Pennsylvania. It considers how librarians structured opportunities to empower students to harness the possibility and technology of augmented reality for public scholarship.|We can’t meet safely in person, but we can still gather to share best practices and build community. Join representatives from the IIIF Consortium, the LD4 Conference planning committee, and CLIR/DLF as they discuss the opportunities and the pitfalls prompted by the pandemic-related cancellation of in-person events.|This presentation will describe the collaborative development process of CollectionBuilder, a static web application that uses Jekyll, APIs, and structured metadata to improve the browsing, design, and visualization capacities for digital collections. Community-driven collaboration with partner institutions has broadened the capacity of CollectionBuilder as a skin interface and teaching tool.|Providing access to sensitive data is unpopular within digital libraries and repositories due to the inherent disclosure risk. Hashicorp's Vault platform has made it possible for us to implement a lightweight solution for secure, zero-knowledge encryption of deposited datasets, while still facilitating access requests.|In the summer of 2020, librarians and undergraduates at Gettysburg College collaborated virtually to develop the DH Toolkit, a collection of digital learning objects for Digital Humanities tools and concepts. This lightning talk will discuss the collaborative framework for creating the toolkit and its future in DH pedagogy at Gettysburg.|Despite demand, academic libraries struggle to provide big bibliometric datasets for their patrons due to the cost and specialized expertise the datasets require. CADRE is a cloud-based platform for sharing, provisioning, and analyzing big bibliometric data. Libraries share CADRE development expenses to reduce per-library costs, while increasing access for patrons.|This presentation will focus on the complexities, challenges, and collaboration that was necessary for completion of a three-year NEH grant to digitize, describe, and publicly release the Berkeley Folk Music Festival Collection. Challenges include redacting social security numbers, establishing authority records, describing esoteric text, and developing a content management system.|The presenters conducted a multi-stage, multi-year research study of the images required to represent complex scrapbooks in an online environment. This presentation reflects on the process of the study, the methods used, what went well, and what they would do differently. Findings from the research will also be presented."
,2020-Nov-09 20:00,2020-Nov-09 22:00,Baltimore Movie Night,,"Just because we won’t be in Baltimore, doesn’t mean we can’t see and experience Baltimore…at the movies! Join us for a group viewing on Teleparty (formerly known as Netflix Party) to watch a Baltimore-themed movie. Vote for your favorite options in this poll and check in the Slack for the link to watch!"
,2020-Nov-10 10:00,2020-Nov-10 11:00,Learn@DLF Tutorials 2,https://2020clirevents.aviaryplatform.com/r/696zw1911r,"In 2016, multiple organizations launched a Data Management Training Clearinghouse. In 2018, DMTC was awarded additional support for enhancement from IMLS. This workshop will demonstrate the capabilities of the newly enhanced DMTC by providing hands-on introduction to the search and curation functions, and inviting participants to join the DMTC community.|This tutorial will teach the basics of using the open-source mapping program QGIS to georeference digitized maps along with publishing these maps using the software development platform GitHub and the mapping platform Mapbox.|The tutorial will highlight approaches and resources for transforming digital images into data for search and discovery. The tutorial will begin by introducing the concept of computer vision. We will then share available resources, which include tutorials, white papers, and critiques of computer vision for identifying features in image collections."
,2020-Nov-10 10:00,2020-Nov-10 11:00,Slack Chat for DLF Newcomers,,First time at DLF? Still have unanswered questions? Join veteran DLF attendees in a low-key informal chat session in the #newcomers Slack channel over coffee/tea to help navigate the threads of social/wellness activities and general conference Q&A.
,2020-Nov-10 11:00,2020-Nov-10 11:45,Combo Session: Teaching social justice through digital archiving and data science,https://2020clirevents.aviaryplatform.com/r/vt1gh9c10x,"As academic librarians increasingly teach data science skills, attention must be paid to scholarship arguing that big data increases inequality. By integrating data justice principles into instruction, librarians can encourage students to become responsible data practitioners. This presentation outlines ways librarians can include ethics and justice in data instruction.|This presentation offers student and instructor perspectives on archival justice in the DH graduate classroom and the various DH literacies and competencies such a focus enables. In particular, we provide a closer look at the creation of ""Digital El Diario,"" a project that resulted from a discipline-agnostic graduate course.|This presentation examines the community activism and archival work in Minneapolis, Minnesota related to anti-police violence against BIPOC. It highlights the work of activist Wanja Kuria, who, after Floyd’s murder, began protesting racism, state-sanctioned violence and documenting the ways in which the Black Lives Matter Movement operates on the ground."
